date,name,prices,daily_return,market_caps,global_cap,market_share
2018-01-22,Singularitynet,0.8929694554992329,,0.0,528146000000.0,0.0
2018-01-23,Singularitynet,0.7721341133074181,-0.1353185615114454,0.0,520306000000.0,0.0
2018-01-24,Singularitynet,0.7245427367280829,-0.06163615330435113,0.0,512466000000.0,0.0
2018-01-25,Singularitynet,0.7299565149095495,0.007471992895704549,0.0,504626000000.0,0.0
2018-01-26,Singularitynet,0.8148937193184885,0.11635926616733294,0.0,496787000000.0,0.0
2018-01-27,Singularitynet,0.9071329883924532,0.11319177812673065,0.0,488947000000.0,0.0
2018-01-28,Singularitynet,0.9502300291564426,0.047509065721843546,0.0,481107000000.0,0.0
2018-01-29,Singularitynet,0.8147005232182087,-0.14262810243804735,0.0,473267000000.0,0.0
2018-01-30,Singularitynet,0.8132983223233914,-0.0017211243332438952,0.0,465427000000.0,0.0
2018-01-31,Singularitynet,0.6709075653962338,-0.17507813924954696,0.0,457587000000.0,0.0
2018-02-01,Singularitynet,0.675109826994334,0.0062635477893566716,298962457.36910534,449748000000.0,0.06647332670053127
2018-02-02,Singularitynet,0.5667973620882977,-0.16043680683520156,250997875.34520105,441253000000.0,0.05688298444321082
2018-02-03,Singularitynet,0.5267956220579221,-0.07057502858339693,233283693.1183416,432759000000.0,0.053906144786900236
2018-02-04,Singularitynet,0.5501276728950532,0.044290517726750744,250002100.25328684,424264000000.0,0.05892606967673119
2018-02-05,Singularitynet,0.48253653228155824,-0.12286446209440027,219285726.68319643,415770000000.0,0.0527420753501206
2018-02-06,Singularitynet,0.3598530513158076,-0.25424703158882345,163532981.60419568,407275000000.0,0.04015296337958276
2018-02-07,Singularitynet,0.4231273038993244,0.17583358638242386,192287572.25147232,398780000000.0,0.048218960893593545
2018-02-08,Singularitynet,0.41821778790282865,-0.0116029288378513,190056473.23423532,390286000000.0,0.048696718107806916
2018-02-09,Singularitynet,0.4340438716777418,0.037841728000795216,197248538.59915566,402585000000.0,0.04899550122313441
2018-02-10,Singularitynet,0.453055655664498,0.04380152612976329,205888325.6166642,414884000000.0,0.049625515955463266
2018-02-11,Singularitynet,0.4043140872669316,-0.10758406343272997,184186407.25624147,427182000000.0,0.04311661241724639
2018-02-12,Singularitynet,0.3832776842599565,-0.05202985418879713,174603215.34314078,439481000000.0,0.03972941158847386
2018-02-13,Singularitynet,0.42031074053077006,0.09662199964059481,191473727.15327245,451780000000.0,0.04238207250282714
2018-02-14,Singularitynet,0.3756549196841587,-0.10624477687679312,171130643.73410508,464079000000.0,0.03687532591091281
2018-02-15,Singularitynet,0.40654115928611073,0.08221971278299889,185200956.11029288,476378000000.0,0.03887689106346072
2018-02-16,Singularitynet,0.39969328160154166,-0.016844242035896184,182081386.38029173,470022000000.0,0.038738907195895456
2018-02-17,Singularitynet,0.37193071460680993,-0.06945967889049609,169434071.7503803,463667000000.0,0.03654218906033431
2018-02-18,Singularitynet,0.3961472631077038,0.06511037553457943,180465987.79040045,457311000000.0,0.0394624200577726
2018-02-19,Singularitynet,0.3655874583218411,-0.0771425367075026,166544383.70282376,450955000000.0,0.03693148622430703
2018-02-20,Singularitynet,0.35912632077910206,-0.017673301957341847,163600994.52034435,444600000000.0,0.036797344696433726
2018-02-21,Singularitynet,0.36203584880308437,0.008101684158571931,164926438.10597643,438244000000.0,0.03763347315787015
2018-02-22,Singularitynet,0.3144836507348568,-0.13134665593321337,144836320.23945466,431889000000.0,0.033535542752757
2018-02-23,Singularitynet,0.3093849545744843,-0.016212913289636366,142488101.53822234,435217000000.0,0.032739553266122955
2018-02-24,Singularitynet,0.32508105437804924,0.0507332356389234,149716983.96930385,438545000000.0,0.034139480319990846
2018-02-25,Singularitynet,0.32148378393669014,-0.011065764654422772,148060251.05992955,441873000000.0,0.03350742205564258
2018-02-26,Singularitynet,0.3567849103442483,0.10980686482933155,164318283.03466412,445201000000.0,0.036908785702337625
2018-02-27,Singularitynet,0.3854973842410698,0.08047558364819274,177541892.76594764,448529000000.0,0.03958314685693626
2018-02-28,Singularitynet,0.36373148612350953,-0.05646185683052263,167517547.8351767,451857000000.0,0.0370731332778239
